identifier	gene_symbol	chromosome	status	n_obs	molecular_weight	gravy	pI	rna_detected_percent	highest_tpm	description	predicted_prob
AT1G01360.1	PYL9	1	canonical	7.0	20.900662	-0.2251336898395722	5.891384315490721	99.89	254.2768	regulatory component of ABA receptor 1	0.8899993
AT1G01370.1	HTR12	1	canonical	10.0	19.7091906	-0.7741573033707861	11.575443458557132	99.72	65.265	Histone superfamily protein	0.36999974
AT1G01390.1	U72B2	1	canonical	11.0	52.67184740000007	-0.0091666666666666	5.787482643127441	88.61	91.54	UDP-Glycosyltransferase superfamily protein	0.9599992
AT1G01400.1	Q9LNI3	1	canonical	4.0	22.3000867	-0.9436274509803914	6.237079048156737	9.96	40.2847	hypothetical protein	0.47333297
AT1G01420.1	U72B3	1	canonical	29.0	52.78363770000008	-0.0621621621621621	5.4999910354614245	97.06	93.7842	UDP-glucosyl transferase 72B3	0.9399992
AT1G01430.1	TBL25	1	canonical	18.0	52.50062430000004	-0.4697368421052633	5.784868049621582	100.0	299.4492	TRICHOME BIREFRINGENCE-LIKE 25	0.99999917
AT1G01440.1	Q6NQ63	1	canonical	27.0	74.07005450000032	-0.8439759036144573	5.9949449539184565	100.0	80.9946	hypothetical protein (DUF3133)	0.99999917
AT1G01453.1	B3H6G3	1	canonical	8.0	29.658529100000017	-0.1056179775280899	9.86445255279541	60.76	167.35	late embryogenesis abundant hydroxyproline-rich glycoprotein family protein	0.6399995
AT1G01470.1	LEA14	1	canonical	46.0	16.542830299999988	0.0562913907284767	4.743520927429199	99.82	4283.0552	Late embryogenesis abundant protein	0.86666596
AT1G01490.1	HIP39	1	canonical	26.0	19.7805721	-1.015819209039548	7.657428550720215	100.0	723.3933	Heavy metal transport/detoxification superfamily protein	0.99666584
AT1G01500.1	Y1015	1	canonical	9.0	35.9252223	-0.2519877675840978	5.251945686340331	99.93	288.1868	Erythronate-4-phosphate dehydrogenase family protein	0.9899992
AT1G01510.1	CTBP	1	canonical	48.0	70.14883720000039	-0.3018867924528303	6.162904167175292	99.98	468.1106	NAD(P)-binding Rossmann-fold superfamily protein	0.99666584
AT1G01540.2	Y1154	1	canonical	34.0	52.32415450000008	-0.2491525423728814	7.655211830139161	99.98	151.1673	Protein kinase superfamily protein	0.99666584
AT1G01550.1	BPS1	1	canonical	13.0	38.58309820000004	-0.1154727793696273	8.98013973236084	100.0	700.5582	BPS1-like protein (DUF793)	0.99999917
AT1G01560.2	MPK11	1	canonical	72.0	42.47498440000006	-0.3227642276422765	6.021602439880371	94.52	839.1991	MAP kinase 11	0.9899992
AT1G01570.1	F4HU33	1	canonical	6.0	55.079611500000105	-0.2805439330543932	8.894138908386232	99.61	144.6878	transferring glycosyl group transferase (DUF604)	0.96666586
AT1G01580.1	FRO2	1	canonical	26.0	81.50006730000057	0.2525517241379311	9.36817493438721	95.36	1117.9598	ferric reduction oxidase 2	0.99999917
AT1G01590.1	FRO1	1	canonical	5.0	79.59911510000046	0.3106534090909091	9.55842113494873	69.24	47.4833	ferric reduction oxidase 1	0.84333265
AT1G01600.1	C86A4	1	canonical	36.0	62.602576300000194	-0.1014440433212998	8.21567363739014	98.73	704.8399	cytochrome P450%2C family 86%2C subfamily A%2C polypeptide 4	0.99999917
AT1G01610.1	GPAT4	1	canonical	73.0	56.26139810000001	0.0956262425447311	9.211774635314942	99.65	301.9656	glycerol-3-phosphate acyltransferase 4	0.98666584
AT1G01620.1	PIP13	1	canonical	120.0	30.632218500000008	0.3811188811188806	9.015081596374516	100.0	9313.8082	plasma membrane intrinsic protein 1C	0.99666584
AT1G01630.1	Q9LQ96	1	canonical	30.0	29.21551590000001	-0.4525490196078436	6.96325397491455	99.98	863.9749	Sec14p-like phosphatidylinositol transfer family protein	0.99999917
AT1G01640.1	Y1164	1	canonical	7.0	23.371491800000022	-0.3207729468599035	5.983747673034667	99.0	176.5324	BTB/POZ domain-containing protein	0.8499993
AT1G01650.1	SIPL4	1	canonical	9.0	59.970115300000046	0.5214814814814823	8.375490760803224	100.0	150.6341	SIGNAL PEPTIDE PEPTIDASE-LIKE 4	0.99666584
AT1G01680.1	PUB54	1	canonical	8.0	35.39153750000001	-0.7831168831168828	6.394466209411622	85.65	828.1317	plant U-box 54	0.7699994
AT1G01710.1	F4HU51	1	canonical	34.0	48.15449670000008	-0.2245901639344264	7.21038990020752	99.98	73.3606	acyl-CoA thioesterase II	0.99666584
AT1G01720.1	NAC2	1	canonical	13.0	32.921947100000025	-0.6612456747404845	6.150683784484862	99.96	2373.7358	NAC (No Apical Meristem) domain transcriptional regulator superfamily protein	0.99999917
AT1G01730.1	Q9LQ83	1	canonical	16.0	24.30600410000001	-0.6861607142857146	6.003925514221191	100.0	337.3874	hypothetical protein	0.98666584
AT1G01740.1	BSK4	1	canonical	15.0	54.037930500000165	-0.2811594202898554	5.45309886932373	99.7	193.0613	kinase with tetratricopeptide repeat domain-containing protein	0.9833325
AT1G01750.1	ADF10	1	canonical	23.0	16.341398999999992	-0.625714285714286	5.536026954650878	99.63	984.6422	actin depolymerizing factor 11	0.78666604
AT1G01760.1	TAD1	1	canonical	7.0	46.49250800000001	-0.368809523809524	9.214998054504395	99.75	117.6733	denosine deaminases acting on tRNA	0.9833325
AT1G01770.1	Q8GZ85	1	canonical	23.0	68.99929430000014	-0.1066455696202531	5.703360939025879	99.96	203.6187	propionyl-CoA carboxylase	0.9799992
AT1G01780.1	PLI2B	1	canonical	31.0	22.98885830000001	-0.4970731707317075	6.775060081481934	99.89	445.3335	GATA type zinc finger transcription factor family protein	0.9899992
AT1G01790.1	KEA1	1	canonical	114.0	128.03189440000108	0.0798826487845771	5.223241996765136	99.98	224.0801	K+ efflux antiporter 1	0.9933325
AT1G01800.1	Q94K30	1	canonical	58.0	31.659817400000044	0.0213559322033898	5.273032951354979	100.0	330.2143	NAD(P)-binding Rossmann-fold superfamily protein	0.98666584
AT1G01820.1	PX11C	1	canonical	21.0	25.91211340000001	-0.0229787234042552	9.77825832366943	100.0	289.2226	peroxin 11c	0.99666584
AT1G01830.1	Q93YW3	1	canonical	8.0	61.92341000000021	-0.0146341463414633	8.148690986633301	99.98	81.1427	ARM repeat superfamily protein	0.98666584
AT1G01840.1	Q9LQ71	1	canonical	6.0	16.94182809999999	-0.4750000000000001	4.975935554504394	99.1	67.4693	AP2-like ethylene-responsive transcription factor SNZ	0.79999936
AT1G01860.1	DIM1C	1	canonical	12.0	38.02220610000007	-0.1728862973760933	8.766684913635256	99.7	50.5124	Ribosomal RNA adenine dimethylase family protein	0.9699992
AT1G01880.1	GENL1	1	canonical	5.0	67.19191320000023	-0.3931552587646076	7.978752326965332	99.77	34.9624	5'-3' exonuclease family protein	0.9833325
AT1G01900.1	SBT11	1	canonical	74.0	83.24647750000048	-0.0062015503875969	8.434930610656739	99.44	495.2193	subtilase family protein	0.99999917
AT1G01910.1	GET3A	1	canonical	37.0	39.67005250000004	-0.1283286118980169	4.731584739685059	100.0	101.7499	P-loop containing nucleoside triphosphate hydrolases superfamily protein	0.9933325
AT1G01920.1	F4HU79	1	canonical	24.0	64.67189770000016	-0.2776223776223775	4.92353000640869	99.95	153.2297	SET domain-containing protein	0.99666584
AT1G01930.1	Q9LPC8	1	canonical	32.0	65.25936560000025	-0.7622413793103436	6.683378791809083	99.98	58.4585	zinc finger protein-like protein	0.99999917
AT1G01940.1	CP18A	1	canonical	23.0	17.502768599999992	-0.3125000000000003	8.442408943176272	99.95	352.7482	Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein	0.98666584
AT1G01950.1	KINUB	1	canonical	52.0	98.4214607000007	-0.4149888143176716	6.580557060241699	99.96	60.5848	armadillo repeat kinesin 2	0.99999917
AT1G01960.1	BIG3	1	canonical	159.0	194.94036160000027	-0.1219999999999994	5.433318901062011	99.98	194.0995	SEC7-like guanine nucleotide exchange family protein	0.99999917
AT1G01970.1	PPR1	1	canonical	27.0	46.07689700000005	-0.1202933985330074	6.575498390197754	99.88	98.6314	Tetratricopeptide repeat (TPR)-like superfamily protein	0.99666584
AT1G01980.1	BBE1	1	canonical	33.0	60.10213570000007	-0.2190388170055453	9.00566921234131	42.9	2733.6196	FAD-binding Berberine family protein	0.99666584
AT1G02000.1	GAE2	1	canonical	38.0	48.13258960000002	-0.2062211981566823	9.94284610748291	99.95	1489.8355	UDP-D-glucuronate 4-epimerase 2	0.9933325
AT1G02010.1	SEC1A	1	canonical	62.0	76.10700940000041	-0.4870728083209504	7.9901632308959964	99.98	80.6731	secretory 1A	0.99666584
AT1G02020.1	O23673	1	canonical	26.0	71.36504730000037	-0.2370716510903423	6.177227592468261	99.98	65.4386	nitroreductase family protein	0.99999917
AT1G02050.1	PKSA	1	canonical	37.0	43.61663709999999	-0.2283544303797471	6.00938205718994	99.84	3407.9485	Chalcone and stilbene synthase family protein	0.9899992
AT1G02060.1	PPR2	1	canonical	12.0	80.83085470000037	-0.1315492957746483	8.684036445617675	99.77	52.7377	Tetratricopeptide repeat (TPR)-like superfamily protein	0.9566659
AT1G02065.1	SPL8	1	canonical	13.0	36.82664210000013	-0.8720720720720722	9.011342430114745	73.88	441.3008	squamosa promoter binding protein-like 8	0.71999943
AT1G02070.1	Q0IGM8	1	canonical	3.0	14.729326199999983	-0.8832061068702293	8.948356819152835	80.35	232.7926	zinc ion-binding protein	0.72333276
AT1G02080.1	F4HVV6	1	canonical	194.0	269.8840912000017	-0.0958041958041954	5.39154224395752	100.0	213.806	transcription regulator	0.99999917
AT1G02090.1	CSN7	1	canonical	31.0	29.468505800000017	-0.3969230769230767	5.498115348815917	100.0	385.9321	Proteasome component (PCI) domain protein	0.99666584
AT1G02100.1	LCMT1	1	canonical	25.0	37.54921400000008	-0.2496987951807231	5.7646333694458	100.0	180.3525	Leucine carboxyl methyltransferase	0.99666584
AT1G02110.1	Q56W45	1	canonical	22.0	79.17875730000033	-0.704267425320055	7.360672187805175	100.0	233.0868	bZIP domain class transcription factor (DUF630 and DUF632)	0.9933325
AT1G02120.1	VAD1	1	canonical	49.0	67.70107750000015	-0.3918060200668896	5.902581596374512	100.0	254.5318	GRAM domain family protein	0.99999917
AT1G02130.1	RAD2A	1	canonical	40.0	22.64822319999999	-0.3738916256157637	5.024305534362793	100.0	161.6082	RAS 5	0.99666584
AT1G02140.1	MGN	1	canonical	29.0	17.457661900000005	-0.4033333333333335	5.436558723449706	100.0	3525.6879	mago nashi family protein	0.99999917
AT1G02145.1	ALG12	1	canonical	9.0	56.80310620000007	0.3093306288032456	9.2178991317749	99.96	119.4184	homolog of asparagine-linked glycosylation 12	0.9899992
AT1G02150.1	PPR3	1	canonical	57.0	59.88213230000007	-0.3299618320610684	8.23630352020264	99.96	342.9341	Tetratricopeptide repeat (TPR)-like superfamily protein	0.99999917
AT1G02160.1	Q8VZ44	1	canonical	7.0	8.061023799999996	-0.8802816901408451	8.962797737121583	99.95	333.1082	Cox19 family protein (CHCH motif)	0.9599992
AT1G02170.1	MCA1	1	canonical	20.0	39.79188790000006	-0.2773841961852866	7.146275520324706	100.0	440.3187	metacaspase 1	0.99999917
AT1G02180.1	Q8GYG8	1	canonical	3.0	24.78729200000001	0.1168141592920353	7.050388145446777	99.88	488.7892	ferredoxin-like protein	0.9933325
AT1G02190.1	CERL1	1	canonical	39.0	72.09170310000027	-0.0460925039872409	7.435358619689941	77.19	544.9344	Fatty acid hydroxylase superfamily	0.9833325
AT1G02205.2	CER1	1	canonical	47.0	72.40493420000026	-0.0169599999999999	8.21844577789307	98.87	1271.0901	Fatty acid hydroxylase superfamily	0.99999917
AT1G02260.1	O81915	1	canonical	5.0	54.72346910000008	0.4629482071713157	7.008952522277832	100.0	97.7773	Divalent ion symporter	0.99999917
AT1G02270.1	YC22	1	canonical	18.0	55.47362490000007	-0.2935950413223142	7.675446510314942	100.0	380.3781	Calcium-binding endonuclease/exonuclease/phosphatase family	0.99666584
AT1G02280.1	TOC33	1	canonical	44.0	32.92477460000001	-0.1397306397306397	9.108625221252442	99.98	408.9718	translocon at the outer envelope membrane of chloroplasts 33	0.99999917
AT1G02300.1	CATB1	1	canonical	10.0	42.262807500000015	-0.058047493403694	6.739763069152833	98.73	176.2753	Cysteine proteinases superfamily protein	0.846666
AT1G02305.1	CATB2	1	canonical	43.0	40.03285970000001	-0.2165745856353592	6.453351402282714	100.0	601.7736	Cysteine proteinases superfamily protein	0.9833325
AT1G02310.1	MAN1	1	canonical	5.0	46.28980510000007	-0.2520681265206816	5.695687675476075	85.37	400.2006	Glycosyl hydrolase superfamily protein	0.9799992
AT1G02330.1	CSU2	1	canonical	38.0	32.34886220000004	-1.1824372759856632	6.35473575592041	100.0	207.776	integrator complex subunit-like protein	0.99666584
AT1G02335.1	GL22	1	canonical	19.0	23.440886300000003	0.1182648401826483	8.73167858123779	96.83	2221.9826	germin-like protein subfamily 2 member 2 precursor	0.9833325
AT1G02360.3	A0A1P8AWZ7	1	canonical	17.0	36.31676409999997	-0.4067901234567906	9.251873970031737	89.81	905.5289	Chitinase family protein	0.9499992
AT1G02370.1	PPR4	1	canonical	51.0	60.3525470000001	-0.3232774674115455	5.978632164001465	99.91	219.2088	Tetratricopeptide repeat (TPR)-like superfamily protein	0.99999917
AT1G02390.1	GPAT2	1	canonical	5.0	59.96739460000013	0.0715094339622641	9.437220573425291	98.54	290.6881	glycerol-3-phosphate acyltransferase 2	0.9899992
AT1G02400.1	G2OX6	1	canonical	2.0	36.83752900000004	-0.3200607902735565	6.406402397155762	98.52	486.6231	gibberellin 2-oxidase 6	0.9799992
AT1G02410.1	COX11	1	canonical	15.0	32.60422989999999	-0.5010452961672477	8.133283042907717	100.0	126.881	cytochrome c oxidase assembly protein CtaG / Cox11 family	0.99999917
AT1G02420.1	PPR5	1	canonical	17.0	56.55597970000001	-0.2217922606924647	7.93291530609131	99.56	59.2743	Pentatricopeptide repeat (PPR) superfamily protein	0.96333253
AT1G02430.1	F4HXI4	1	canonical	2.0	21.252828300000004	-0.3457894736842105	5.491180992126464	99.84	120.6368	ADP-ribosylation factor D1B	0.9933325
AT1G02450.1	NIMI1	1	canonical	4.0	16.81745749999999	-1.2556338028169012	5.019758415222167	87.57	574.8581	NIM1-interacting 1	0.8399993
AT1G02460.1	Q9FWX5	1	canonical	7.0	53.462321200000005	-0.3796334012219964	5.995570182800292	96.03	43.1304	Pectin lyase-like superfamily protein	0.806666
AT1G02470.1	F4HXI8	1	canonical	4.0	24.58433010000001	-0.0349999999999999	9.913384056091306	96.9	311.7004	Polyketide cyclase/dehydrase and lipid transport superfamily protein	0.91999924
AT1G02475.1	Q94K52	1	canonical	13.0	25.036816400000017	-0.1794520547945207	9.94310398101807	99.91	228.3895	Polyketide cyclase/dehydrase and lipid transport superfamily protein	0.98666584
AT1G02500.1	METK1	1	canonical	324.0	43.15755310000007	-0.3061068702290082	5.507266426086424	100.0	10801.4857	S-adenosylmethionine synthetase 1	0.99999917
AT1G02520.1	AB11B	1	canonical	81.0	137.6650767000007	0.1473395931142409	7.570919609069826	98.25	2204.7486	P-glycoprotein 11	0.9799992
AT1G02530.1	AB12B	1	canonical	58.0	136.77200080000063	0.1805970149253733	7.818870735168457	89.19	173.9594	P-glycoprotein 12	0.9266659
AT1G02560.1	CLPP5	1	canonical	78.0	32.35552670000002	-0.1976510067114095	8.34699573516846	100.0	659.9408	nuclear encoded CLP protease 5	0.99999917
AT1G02620.1	Q3E6Q3	1	canonical	20.0	13.825784499999983	0.0368852459016393	4.950130653381346	77.82	229.5894	Ras-related small GTP-binding family protein	0.5166663
AT1G02640.1	BXL2	1	canonical	63.0	82.98392640000034	-0.0826822916666666	8.622855949401856	99.89	1357.7992	beta-xylosidase 2	0.99666584
AT1G02660.1	PLIP2	1	canonical	2.0	78.34515000000042	-0.3054698457222998	5.169244956970213	99.98	935.4517	alpha/beta-Hydrolases superfamily protein	0.99999917
AT1G02680.1	TAF13	1	canonical	8.0	14.254088499999982	-0.6039682539682544	5.754118156433106	99.98	249.0294	TBP-associated factor 13	0.99999917
AT1G02690.1	IMPA6	1	canonical	60.0	59.388225900000045	-0.3587360594795534	5.035161781311035	99.91	543.6495	importin alpha isoform 6	0.99999917
AT1G02700.1	Q9FWY8	1	canonical	33.0	27.4550791	-0.925506072874493	5.197834968566894	93.21	1554.8546	GATA transcription factor-like protein	0.79999936
AT1G02730.1	CSLD5	1	canonical	47.0	132.5850221000003	-0.2762912785774752	8.000542640686035	99.42	724.6794	cellulose synthase-like D5	0.99999917
AT1G02740.1	MRG2	1	canonical	15.0	37.62843460000003	-0.6308868501529051	5.778615760803221	99.96	40.0812	MRG family protein	0.99999917
AT1G02750.1	DI192	1	canonical	7.0	25.10536150000001	-0.8438914027149321	4.780352592468262	99.96	133.4114	Drought-responsive family protein	0.96666586
AT1G02770.1	Y1277	1	canonical	12.0	36.06570990000003	-0.3458860759493674	5.1207612991333	91.79	267.0473	hypothetical protein	0.89666593
AT1G02780.1	RL191	1	canonical	132.0	24.6060358	-0.9892523364485976	11.353414344787598	100.0	11734.9588	Ribosomal protein L19e family protein	0.99999917
AT1G02790.1	PGLR1	1	canonical	50.0	44.4293371	0.0248815165876777	8.511647987365723	21.63	14254.6989	polygalacturonase 4	0.93333256
AT1G02800.1	GUN1	1	canonical	33.0	55.41808920000005	-0.2544910179640721	8.032003211975098	89.83	257.5428	cellulase 2	0.96333253
AT1G02810.1	PME7	1	canonical	14.0	63.951385100000216	-0.2093264248704664	8.90303554534912	94.25	737.6795	Plant invertase/pectin methylesterase inhibitor superfamily	0.99999917
AT1G02813.1	F4HXM8	1	canonical	15.0	16.84827419999999	0.1234899328859062	9.251809501647948	36.26	8118.3283	pectinesterase (Protein of unknown function%2C DUF538)	0.9033326
AT1G02816.1	Q9SRX5	1	canonical	17.0	18.496008	0.1740963855421686	5.080405616760252	99.98	211.7776	pectinesterase (Protein of unknown function%2C DUF538)	0.9899992
AT1G02820.1	LEA2	1	canonical	2.0	9.827006299999994	-0.4912087912087913	9.394993782043455	93.42	1080.1189	Late embryogenesis abundant 3 (LEA3) family protein	0.46333298
AT1G02830.1	RL221	1	canonical	6.0	14.450408499999982	-0.5606299212598423	9.757563972473145	32.05	21.1718	Ribosomal L22e protein family	0.006666667
AT1G02840.1	SR34	1	canonical	39.0	33.728824200000055	-1.250825082508253	11.060534477233888	100.0	547.6545	RNA-binding (RRM/RBD/RNP motifs) family protein	0.99999917
AT1G02850.2	BGL11	1	canonical	22.0	55.50302720000006	-0.2237424547283703	6.010461997985838	97.83	568.1214	beta glucosidase 11	0.98666584
AT1G02870.1	Q8RWK5	1	canonical	21.0	22.103043400000004	-0.8424870466321248	9.588205528259277	99.98	396.4196	nucleolar-like protein	0.9799992
AT1G02880.3	TPK1	1	canonical	24.0	29.878599400000024	-0.2359550561797753	5.311001396179199	99.98	188.9879	thiamin pyrophosphokinase1	0.99666584
AT1G02890.1	F4HZ82	1	canonical	89.0	135.988352500001	-0.3813804173354717	5.697051811218262	100.0	210.9731	AAA-type ATPase family protein	0.99999917
AT1G02900.1	RLF1	1	canonical	7.0	12.96648659999998	-0.2058333333333334	8.247907829284667	96.42	1917.8125	rapid alkalinization factor 1	0.82333267
AT1G02910.1	LPA1	1	canonical	40.0	50.73842950000007	-0.3501103752759388	9.371785163879396	100.0	134.9076	tetratricopeptide repeat (TPR)-containing protein	0.99999917
AT1G02920.1	GSTF7	1	canonical	122.0	23.597819800000018	-0.2124401913875598	6.143635749816894	94.31	10153.0227	glutathione S-transferase 7	0.9566659
AT1G02930.1	GSTF6	1	canonical	143.0	23.485628800000026	-0.21875	5.800726127624511	99.44	12774.5491	glutathione S-transferase 6	0.97666585
AT1G02940.1	GSTF5	1	canonical	6.0	29.84891690000001	-0.5312500000000002	9.264445304870604	75.23	132.5944	glutathione S-transferase (class phi) 5	0.63333285
AT1G02950.1	GSTF4	1	canonical	19.0	28.53056050000004	-0.5131687242798358	8.814133644104007	96.55	210.8349	glutathione S-transferase F4	0.826666
AT1G02960.1	F4HZ93	1	canonical	5.0	51.06810140000012	-0.6543290043290036	4.879025077819825	100.0	101.7697	kinetochore protein	0.9933325
AT1G02970.1	WEE1	1	canonical	7.0	56.52958970000002	-0.5879999999999993	8.350992774963384	98.45	40.1802	WEE1-like kinase	0.92999923
AT1G02980.1	CUL2	1	canonical	34.0	85.96389870000051	-0.4028301886792442	7.2598966598510755	59.18	256.5856	cullin 2	0.9033326
AT1G02990.3	F4HZ99	1	canonical	35.0	140.77962730000093	-0.8205007824726136	8.170030021667483	100.0	59.4118	hypothetical protein	0.99999917
AT1G03000.1	PEX6	1	canonical	71.0	103.04403600000092	-0.195749202975558	5.788789939880371	99.96	50.4412	peroxin 6	0.99999917
AT1G03010.1	Y1301	1	canonical	5.0	71.15896230000037	-0.2146687697160885	8.86667537689209	89.49	25.4134	Phototropic-responsive NPH3 family protein	0.84333265
AT1G03030.1	Q500U9	1	canonical	36.0	34.056639800000006	-0.3285714285714288	7.054253196716308	99.96	73.8873	P-loop containing nucleoside triphosphate hydrolases superfamily protein	0.99999917
AT1G03040.1	BH007	1	canonical	14.0	32.70381850000003	-0.4261589403973504	6.140964317321777	100.0	165.3091	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	0.99999917
AT1G03050.1	CAP4	1	canonical	28.0	66.97040900000016	-0.524040066777963	4.8399766921997065	43.68	1690.103	ENTH/ANTH/VHS superfamily protein	0.9833325
AT1G03055.1	D27	1	canonical	5.0	29.79482410000001	-0.3583333333333334	8.935463142395022	94.87	87.4337	beta-carotene isomerase D27-like protein	0.75666606
AT1G03060.1	BCHA1	1	canonical	152.0	400.88933900000274	-0.1452929741738402	5.747809028625488	100.0	175.7284	BEACH-DOMAIN HOMOLOG A1	0.99999917
AT1G03080.1	NET1D	1	canonical	94.0	198.54765260000104	-0.7028274668205452	5.0148134231567365	100.0	512.3238	kinase interacting (KIP1-like) family protein	0.99999917
AT1G03090.2	MCCA	1	canonical	305.0	80.45035650000034	-0.2848773841961854	6.4200437545776365	99.96	1654.9096	methylcrotonyl-CoA carboxylase alpha chain	0.99999917
AT1G03100.1	PPR6	1	canonical	17.0	89.23807290000053	-0.2416141235813368	8.943392753601074	99.72	129.4404	Pentatricopeptide repeat (PPR) superfamily protein	0.9899992
AT1G03103.1	LTG19	1	canonical	2.0	17.66396129999999	0.2608187134502923	8.692933082580566	10.74	825.3148	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	0.9499992
