Gene_Name	nextprot_accession	primary_isoform	Ensembl_Accession	RefSeq_Accession	Uniprot_Accession	Chromosome	Start	End	n_neXtProt_entry	Protein_existence	PeptideAtlas_Category	nobs	Description	accession
GUN11	AT2G32990.1	AT2G32990.1		NP_180858.1	O48766	2	14003361	14005844	1		canonical	7	 glycosyl hydrolase 9B8 	AT2G32990.1
Q9LRU1	AT3G30247.1	AT3G30247.1		NP_001078226.1	Q9LRU1	3	11888221	11888697	1		canonical	8	 ECA1 gametogenesis family protein (DUF784) 	AT3G30247.1
RWA3	AT2G34410.1	AT2G34410.1		NP_001031478.1	Q66GQ5	2	14518719	14522053	1		canonical	7	 O-acetyltransferase family protein 	AT2G34410.1
F4IAX1	AT1G31710.1	AT1G31710.1		NP_174452.2	F4IAX1	1	11349855	11355339	1		canonical	26	 Copper amine oxidase family protein 	AT1G31710.1
HDA15	AT3G18520.1	AT3G18520.1		NP_566612.1	Q8GXJ1	3	6361605	6365367	1		canonical	33	 histone deacetylase 15 	AT3G18520.1
Q9LHQ2	AT3G20700.1	AT3G20700.1		NP_188706.1	Q9LHQ2	3	7233525	7234505	1		not observed		 F-box associated ubiquitination effector family protein 	AT3G20700.1
Q93ZC6	AT4G31875.1	AT4G31875.1		NP_567884.1	Q93ZC6	4	15411856	15412272	1		weak	1	 hypothetical protein 	AT4G31875.1
Q9M9U8	AT1G18780.1	AT1G18780.1		NP_173313.1	Q9M9U8	1	6476258	6477235	1		not observed		 RING/U-box superfamily protein 	AT1G18780.1
ALT1	AT1G35290.1	AT1G35290.1		NP_564457.1	Q9C7I5	1	12947760	12948778	1		canonical	5	 Thioesterase superfamily protein 	AT1G35290.1
TRDMT	AT5G25480.1	AT5G25480.1		NP_568474.1	F4JWT7	5	8870069	8872199	1		canonical	12	 DNA methyltransferase-2 	AT5G25480.1
F4JDK0	AT3G20270.1	AT3G20270.1		NP_001189939.1	F4JDK0	3	7067779	7070866	1		canonical	11	 lipid-binding serum glycoprotein family protein 	AT3G20270.1
Q9C5J2	AT1G75230.1	AT1G75230.1		NP_565105.1	Q9C5J2	1	28234444	28236452	1		canonical	13	 DNA glycosylase superfamily protein 	AT1G75230.1
RSH1C	AT4G02260.1	AT4G02260.1		NP_567226.1	F4JHA2	4	985451	991178	1		canonical	25	 RELA/SPOT homolog 1 	AT4G02260.1
Q1PEH3	AT3G48540.1	AT3G48540.1		NP_190423.2	Q1PEH3	3	17989798	17992015	1		canonical	14	 Cytidine/deoxycytidylate deaminase family protein 	AT3G48540.1
Q9M0R3	AT4G09150.1	AT4G09150.1		NP_192654.1	Q9M0R3	4	5828753	5833475	1		canonical	56	 T-complex protein 11 	AT4G09150.1
ACR12	AT5G04740.1	AT5G04740.1		NP_196094.1	Q9LZ23	5	1368713	1371391	1		canonical	52	 ACT domain-containing protein 	AT5G04740.1
Q9SFF2	AT1G21850.1	AT1G21850.1		NP_173603.1	Q9SFF2	1	7667803	7670530	1		canonical	31	 SKU5 similar 8 	AT1G21850.1
Q29Q07	AT4G16447.1	AT4G16447.1		NP_567499.1	Q29Q07	4	9278829	9279206	1		not observed		 hypothetical protein 	AT4G16447.1
TRY	AT5G53200.1	AT5G53200.1		NP_200132.2	Q8GV05	5	21582913	21583960	1		not observed		 Homeodomain-like superfamily protein 	AT5G53200.1
PS13A	AT5G45620.1	AT5G45620.1		NP_199375.2	Q8RWF0	5	18501590	18503868	1		canonical	80	 Proteasome component (PCI) domain protein 	AT5G45620.1
A0A1P8AY78	AT2G13985.1	AT2G13985.1		NP_001323791.1	A0A1P8AY78	2	5874638	5875793	1		not observed		 transcriptional factor B3 family protein 	AT2G13985.1
MPK15	AT1G73670.1	AT1G73670.1		NP_565070.2	Q9C9U4	1	27700212	27703168	1		canonical	51	 MAP kinase 15 	AT1G73670.1
CAP9	AT1G14910.1	AT1G14910.1		NP_172944.1	P94017	1	5139928	5143571	1		canonical	37	 ENTH/ANTH/VHS superfamily protein 	AT1G14910.1
GSTU3	AT2G29470.1	AT2G29470.1		NP_180508.1	Q9ZW28	2	12628666	12629490	1		canonical	11	 glutathione S-transferase tau 3 	AT2G29470.1
U76C2	AT5G05860.1	AT5G05860.1		NP_196205.1	Q9FIA0	5	1765545	1767348	1		canonical	22	 UDP-glucosyl transferase 76C2 	AT5G05860.1
A0A1I9LTS9	AT3G29645.1	AT3G29645.1		NP_001327917.1	A0A1I9LTS9	3	11480384	11481190	1		not observed		 hypothetical protein 	AT3G29645.1
GDL56	AT3G43570.1	AT3G43570.1		NP_189943.1	Q9FYD3	3	15473345	15474765	1		subsumed by AT1G58725.1	5	 GDSL-like Lipase/Acylhydrolase superfamily protein 	AT3G43570.1
ATG9	AT2G31260.1	AT2G31260.1		NP_850164.1	Q8RUS5	2	13322291	13326293	1		canonical	20	 autophagy 9 (APG9) 	AT2G31260.1
GES	AT1G61120.1	AT1G61120.1		NP_564772.1	Q93YV0	1	22523689	22528598	1		canonical	6	 terpene synthase 04 	AT1G61120.1
PLA20	AT2G42690.1	AT2G42690.1		NP_181797.1	Q9SJI7	2	17776356	17777682	1		canonical	42	 alpha/beta-Hydrolases superfamily protein 	AT2G42690.1
GLR12	AT5G48400.2	AT5G48400.2		NP_199651.1	Q9LV72	5	19616244	19619246	1		canonical	2	 Glutamate receptor family protein 	AT5G48400.2
Q8VYN4	AT2G34610.1	AT2G34610.1		NP_850233.1	Q8VYN4	2	14575467	14576339	1		not observed		 cotton fiber protein 	AT2G34610.1
Q9C8Q4	AT1G41820.1	AT1G41820.1		NP_174946.1	Q9C8Q4	1	15582423	15585143	1		not observed		 hypothetical protein 	AT1G41820.1
WAV3	AT5G49665.1	AT5G49665.1		NP_680410.1	Q9LTA6	5	20167119	20169420	1		canonical	23	 Zinc finger (C3HC4-type RING finger) family protein 	AT5G49665.1
Y3130	AT3G01300.1	AT3G01300.1		NP_186779.1	Q9SRH7	3	90817	93335	1		canonical	25	 Protein kinase superfamily protein 	AT3G01300.1
FB291	AT5G52610.1	AT5G52610.1		NP_200073.1	Q9LTF6	5	21346423	21347478	1		not observed		 F-box and associated interaction domains-containing protein 	AT5G52610.1
TCP14	AT3G47620.1	AT3G47620.1		NP_190346.2	Q93Z00	3	17559004	17560473	1		canonical	32	 TEOSINTE BRANCHED%2C cycloidea and PCF (TCP) 14 	AT3G47620.1
Y3172	AT3G51720.1	AT3G51720.1		NP_190740.1	Q9SCT6	3	19185119	19186518	1		canonical	2	 WEB family protein (DUF827) 	AT3G51720.1
Q9M340	AT3G53860.1	AT3G53860.1		NP_190954.1	Q9M340	3	19949850	19951270	1		canonical	4	 INO80 complex subunit D-like protein 	AT3G53860.1
Q9C5A2	AT5G08750.1	AT5G08750.1		NP_001078547.1	Q9C5A2	5	2853066	2854343	1		canonical	9	 RING/FYVE/PHD zinc finger superfamily protein 	AT5G08750.1
F4K064	AT5G48090.1	AT5G48090.1		NP_199620.4	F4K064	5	19484724	19488383	1		not observed		 EDM2-like protein1 	AT5G48090.1
O48683	AT1G24160.1	AT1G24160.1		NP_001185079.1	O48683	1	8553669	8555830	1		canonical	48	 triadin 	AT1G24160.1
Q9SRU3	AT3G02270.1	AT3G02270.1		NP_186876.1	Q9SRU3	3	448977	451007	1		subsumed by AT2G34970.1	1	 Trimeric LpxA-like enzyme 	AT3G02270.1
NIPL2	AT1G74410.1	AT1G74410.1		NP_565085.1	Q8LBA0	1	27965723	27967681	1		canonical	4	 RING/U-box superfamily protein 	AT1G74410.1
NAD2	PeptideAtlas_ATMG00285.1	PeptideAtlas_ATMG00285.1		YP_009472107.2	O05000	M	0	0	1		canonical	24	" Symbols: NAD2A, NAD2.1, NAD2 "	ATMG00285.1
Q3E9Q9	AT4G35430.1	AT4G35430.1		NP_974688.1	Q3E9Q9	4	16836186	16836383	1		not observed		 hypothetical protein 	AT4G35430.1
GAT21	AT5G56860.1	AT5G56860.1		NP_200497.1	Q5HZ36	5	22989630	22991351	1		canonical	11	 GATA type zinc finger transcription factor family protein 	AT5G56860.1
Q9LQ83	AT1G01730.1	AT1G01730.1		NP_563634.1	Q9LQ83	1	271002	271872	1		canonical	16	 hypothetical protein 	AT1G01730.1
AGP12	AT3G13520.1	AT3G13520.1		NP_566458.1	Q9LJD9	3	4409087	4409269	1		not observed		 arabinogalactan protein 12 	AT3G13520.1
AOX1A	AT3G22370.1	AT3G22370.1		NP_188876.1	Q39219	3	7906890	7908416	1		canonical	51	 alternative oxidase 1A 	AT3G22370.1
SUT21	AT5G10180.1	AT5G10180.1		NP_196580.1	O04722	5	3193225	3196818	1		canonical	5	 slufate transporter 2%3B1 	AT5G10180.1
NOG1	AT1G50920.1	AT1G50920.1		NP_175505.1	Q9C6I8	1	18870555	18872570	1		canonical	96	 Nucleolar GTP-binding protein 	AT1G50920.1
ANM3	AT3G12270.1	AT3G12270.1		NP_187835.2	Q0WVD6	3	3910642	3913122	1		canonical	38	 protein arginine methyltransferase 3 	AT3G12270.1
Y5638	AT5G63820.1	AT5G63820.1		NP_201187.1	Q9FN07	5	25541576	25542893	1		not observed		 hypothetical protein (DUF626) 	AT5G63820.1
Y5188	AT1G51880.1	AT1G51880.1		NP_001319201.1	Q9FZB1	1	19270193	19274068	1		canonical	20	 root hair specific 6 	AT1G51880.1
RS254	AT4G39200.1	AT4G39200.1		NP_195631.1	Q9T029	4	18257464	18258464	1		canonical	72	 Ribosomal protein S25 family protein 	AT4G39200.1
Q5XUX8	AT5G62240.1	AT5G62240.1		NP_201030.2	Q5XUX8	5	25002541	25004569	1		subsumed by AT1G20510.1	1	 Cell cycle regulated microtubule associated protein 	AT5G62240.1
DRM3	AT3G17310.1	AT3G17310.1		NP_566573.1	Q8H1E8	3	5909294	5912838	1		canonical	31	 S-adenosyl-L-methionine-dependent methyltransferases superfamily protein 	AT3G17310.1
Q9SV14	AT4G31560.1	AT4G31560.1		NP_194884.1	Q9SV14	4	15295219	15296028	1		canonical	4	 high chlorophyll fluorescence 153 	AT4G31560.1
U84A3	AT4G15490.1	AT4G15490.1		NP_193284.1	O23401	4	8852864	8854303	1		canonical	31	 UDP-Glycosyltransferase superfamily protein 	AT4G15490.1
Q9FN35	AT5G53910.1	AT5G53910.1		NP_200202.1	Q9FN35	5	21890643	21891335	1		subsumed by AT5G09660.1	1	 RING/U-box superfamily protein 	AT5G53910.1
CYC1A	AT3G27240.1	AT3G27240.1		NP_189360.1	Q9LK29	3	10056144	10058370	1		canonical	109	 Cytochrome C1 family 	AT3G27240.1
Q9FX44	AT1G73510.1	AT1G73510.1		NP_177493.1	Q9FX44	1	27642651	27643118	1		not observed		 hypothetical protein 	AT1G73510.1
A3KPF3	AT3G02710.1	AT3G02710.1		NP_186920.2	A3KPF3	3	583184	585780	1		canonical	34	 ARM repeat superfamily protein 	AT3G02710.1
LRL26	AT1G66980.1	AT1G66980.1		NP_176870.2	D7SFH9	1	24997491	25001961	1		canonical	44	 suppressor of npr1-1 constitutive 4 	AT1G66980.1
Q3EBS3	AT2G28725.1	AT2G28725.1		NP_850124.1	Q3EBS3	2	12328605	12328943	1		not observed		 forkhead box protein G1 	AT2G28725.1
Q9M840	AT3G04470.1	AT3G04470.1		NP_566227.3	Q9M840	3	1189841	1191853	1		canonical	40	 Ankyrin repeat family protein 	AT3G04470.1
Q5XEP8	AT5G10650.1	AT5G10650.1		NP_001031869.1	Q5XEP8	5	3365237	3367263	1		canonical	3	 RING/U-box superfamily protein 	AT5G10650.1
Q9LHA0	AT3G28750.1	AT3G28750.1		NP_189517.1	Q9LHA0	3	10791772	10792773	1		canonical	9	 hypothetical protein 	AT3G28750.1
GENL1	AT1G01880.1	AT1G01880.1		NP_001320987.1	Q9LPD2	1	306558	308991	1		canonical	5	 5'-3' exonuclease family protein 	AT1G01880.1
NDBAA	AT1G49140.1	AT1G49140.1		NP_001321329.1	Q9M9B4	1	18177696	18178269	1		canonical	32	 NADH dehydrogenase ubiquinone 1 beta subcomplex subunit 10-B-like protein (Complex I subunit NDUFS6) 	AT1G49140.1
YAB1	AT2G45190.1	AT2G45190.1		NP_566037.1	O22152	2	18628450	18630552	1		marginally distinguished	2	 Plant-specific transcription factor YABBY family protein 	AT2G45190.1
MCES1	AT3G20650.1	AT3G20650.1		NP_188701.2	Q9LHQ7	3	7221168	7223939	1		canonical	27	 mRNA capping enzyme family protein 	AT3G20650.1
R13L1	AT3G14470.1	AT3G14470.1		NP_001319549.1	Q9LRR4	3	4857940	4861104	1		canonical	3	 NB-ARC domain-containing disease resistance protein 	AT3G14470.1
O22919	AT2G30230.1	AT2G30230.1		NP_180582.1	O22919	2	12897156	12897689	1		canonical	2	 6%2C7-dimethyl-8-ribityllumazine synthase 	AT2G30230.1
TET6	AT3G12090.1	AT3G12090.1		NP_566411.2	Q9C7C1	3	3852326	3853714	1		canonical	4	 tetraspanin6 	AT3G12090.1
Q9T002	AT4G35150.1	AT4G35150.1		NP_195241.1	Q9T002	4	16726948	16728531	1		subsumed by AT4G35160.1	4	 O-methyltransferase family protein 	AT4G35150.1
Q94AK8	AT1G25260.1	AT1G25260.1		NP_564226.1	Q94AK8	1	8854163	8855766	1		canonical	34	 Ribosomal protein L10 family protein 	AT1G25260.1
YLMG2	AT5G21920.1	AT5G21920.1		NP_680180.1	Q9C595	5	7241350	7242765	1		weak	2	 YGGT family protein 	AT5G21920.1
U1165	AT1G09230.1	AT1G09230.1		NP_172394.1	Q8RWV8	1	2979637	2982563	1		canonical	20	 RNA-binding (RRM/RBD/RNP motifs) family protein 	AT1G09230.1
F4IU76	AT2G03930.2	AT2G03930.2		NP_973414.1	F4IU76	2	1204920	1206249	1		not observed		 hypothetical protein (DUF239) 	AT2G03930.2
F4JP00	AT4G11385.1	AT4G11385.1		NP_680678.1	F4JP00	4	6927087	6927678	1		not observed		 hypothetical protein 	AT4G11385.1
KN14C	AT4G21270.1	AT4G21270.1		NP_193859.1	Q07970	4	11329579	11333884	1		canonical	41	 kinesin 1 	AT4G21270.1
Q9SVJ5	AT4G38980.1	AT4G38980.1		NP_195609.1	Q9SVJ5	4	18166898	18167740	1		canonical	13	 hypothetical protein 	AT4G38980.1
ADS32	AT3G15870.1	AT3G15870.1		NP_188208.4	Q9LVZ3	3	5362911	5364425	1		not observed		 Fatty acid desaturase family protein 	AT3G15870.1
DF241	AT3G27503.1	AT3G27503.1		NP_001030783.1	P82638	3	10185960	10186499	1		canonical	6	 SCR-like 19 	AT3G27503.1
Q9STG1	AT3G46890.1	AT3G46890.1		NP_190273.1	Q9STG1	3	17266416	17267030	1		weak	1	 maternal effect embryo arrest protein 	AT3G46890.1
LAC8	AT5G01040.1	AT5G01040.1		NP_195724.1	Q9LFD2	5	13394	16142	1		canonical	10	 laccase 8 	AT5G01040.1
FB343	AT4G02733.1	AT4G02733.1		NP_001031579.1	Q2V3L6	4	1210173	1211512	1		not observed		 F-box family protein 	AT4G02733.1
ERF13	AT1G77640.1	AT1G77640.1		NP_177887.1	Q9CAP4	1	29178796	29179530	1		subsumed by AT1G21910.1	1	 Integrase-type DNA-binding superfamily protein 	AT1G77640.1
F4ILP4	AT2G29920.1	AT2G29920.1		NP_001318315.1	F4ILP4	2	12754494	12755384	1		not observed		 hypothetical protein 	AT2G29920.1
PBS1	AT5G13160.1	AT5G13160.1		NP_196820.1	Q9FE20	5	4176854	4179682	1		canonical	36	 Protein kinase superfamily protein 	AT5G13160.1
R35A2	AT1G41880.1	AT1G41880.1		NP_001319158.1	Q9FZH0	1	15651585	15652427	1		canonical	45	 Ribosomal protein L35Ae family protein 	AT1G41880.1
F4KDM9	AT5G64390.3	AT5G64390.3		NP_001190612.1	F4KDM9	5	25743442	25747380	1		canonical	53	 RNA-binding KH domain-containing protein 	AT5G64390.3
OFUT5	AT1G17270.1	AT1G17270.1		NP_001322684.1	Q84WU0	1	5909443	5911624	1		canonical	28	 O-fucosyltransferase family protein 	AT1G17270.1
B3H736	AT1G23570.1	AT1G23570.1		NP_564198.3	B3H736	1	8355081	8356364	1		not observed		 hypothetical protein (DUF220) 	AT1G23570.1
F4I2Z2	AT1G22720.1	AT1G22720.1		NP_173686.1	F4I2Z2	1	8044232	8045665	1		not observed		 Protein kinase superfamily protein 	AT1G22720.1
ENT3	AT4G05120.1	AT4G05120.1		NP_001329797.1	Q9M0Y3	4	2632886	2634824	1		canonical	9	 Major facilitator superfamily protein 	AT4G05120.1
Q9M878	AT3G02640.1	AT3G02640.1		NP_566178.1	Q9M878	3	565064	565621	1		canonical	4	 transmembrane protein 	AT3G02640.1
SRPP	AT4G02270.1	AT4G02270.1		NP_192136.1	O81417	4	992383	992996	1		canonical	14	 root hair specific 13 	AT4G02270.1
PAH2	AT5G42870.1	AT5G42870.1		NP_199101.1	Q9FMN2	5	17185719	17189681	1		canonical	64	 phosphatidic acid phosphohydrolase 2 	AT5G42870.1
F4JB05	AT3G12915.1	AT3G12915.1		NP_001154611.1	F4JB05	3	4112999	4115708	1		canonical	274	 Ribosomal protein S5/Elongation factor G/III/V family protein 	AT3G12915.1
Q9LJQ7	AT3G18230.1	AT3G18230.1		NP_188451.1	Q9LJQ7	3	6251495	6253971	1		canonical	38	 Octicosapeptide/Phox/Bem1p family protein 	AT3G18230.1
Y2531	AT2G35310.1	AT2G35310.1		NP_181074.2	Q5PNU4	2	14864943	14866404	1		canonical	2	 Transcriptional factor B3 family protein 	AT2G35310.1
BAG7	AT5G62390.1	AT5G62390.1		NP_201045.1	Q9LVA0	5	25052377	25054170	1		canonical	124	 BCL-2-associated athanogene 7 	AT5G62390.1
GDL14	AT1G29660.1	AT1G29660.1		NP_174259.1	Q9C7N5	1	10371955	10373624	1		canonical	66	 GDSL-like Lipase/Acylhydrolase superfamily protein 	AT1G29660.1
O82185	AT2G19960.1	AT2G19960.1		NP_001318251.1	O82185	2	8622215	8622736	1		not observed		 hAT family dimerization domain-containing protein 	AT2G19960.1
HDT3	AT5G03740.1	AT5G03740.1		NP_195994.3	Q9LZR5	5	981994	983961	1		canonical	77	 histone deacetylase 2C 	AT5G03740.1
Q8S8G6	AT2G18245.1	AT2G18245.1		NP_565432.1	Q8S8G6	2	7937353	7939382	1		canonical	26	 alpha/beta-Hydrolases superfamily protein 	AT2G18245.1
LAC16	AT5G58910.1	AT5G58910.1		NP_001330401.1	Q1PDH6	5	23789522	23791681	1		canonical	17	 laccase 16 	AT5G58910.1
Q9S7D6	AT1G74990.1	AT1G74990.1		NP_177636.1	Q9S7D6	1	28159837	28160250	1		not observed		 RING/U-box superfamily protein 	AT1G74990.1
Q1G3A6	AT3G25577.1	AT3G25577.1		NP_001118699.1	Q1G3A6	3	9291686	9291928	1		not observed		 hypothetical protein 	AT3G25577.1
Q9SRV9	AT3G03820.1	AT3G03820.1		NP_001319462.1	Q9SRV9	3	976933	977223	1		not observed		 SAUR-like auxin-responsive protein family 	AT3G03820.1
A0A1P8AZR6	AT2G24535.1	AT2G24535.1		NP_001324323.1	A0A1P8AZR6	2	10424784	10425547	1		weak	1	 hypothetical protein 	AT2G24535.1
COG6	AT1G31780.1	AT1G31780.1		NP_174458.2	Q6NMI3	1	11391341	11394610	1		canonical	62	 oligomeric golgi complex subunit 	AT1G31780.1
B3H4V9	AT3G04181.1	AT3G04181.1		NP_001118569.1	B3H4V9	3	1098929	1099448	1		not observed		 hypothetical protein 	AT3G04181.1
EPFL9	AT4G12970.1	AT4G12970.1		NP_193033.1	Q9SV72	4	7586244	7586798	1		canonical	2	 stomagen 	AT4G12970.1
RBX1A	AT5G20570.1	AT5G20570.1		NP_568396.1	Q940X7	5	6956905	6958221	1		canonical	19	 RING-box 1 	AT5G20570.1
Q8VZT4	AT1G29370.1	AT1G29370.1		NP_174230.2	Q8VZT4	1	10278080	10283024	1		canonical	181	 RNA polymerase II degradation factor-like protein (DUF1296) 	AT1G29370.1
ZHD9	AT3G28920.1	AT3G28920.1		NP_189534.1	Q9LHF0	3	10940598	10941536	1		canonical	28	 homeobox protein 34 	AT3G28920.1
C0SUU5	AT1G11490.1	AT1G11490.1		NP_001318982.1	C0SUU5	1	3868884	3870065	1		not observed		 zinc finger (C2H2 type) family protein 	AT1G11490.1
LRK31	AT2G29220.1	AT2G29220.1		NP_180485.1	Q9ZW09	2	12562781	12564664	1		canonical	24	 Concanavalin A-like lectin protein kinase family protein 	AT2G29220.1
RS253	AT4G34555.1	AT4G34555.1		NP_567968.1	Q8GYL5	4	16504381	16505339	1		canonical	47	 Ribosomal protein S25 family protein 	AT4G34555.1
F4IZV1	AT3G09190.1	AT3G09190.1		NP_001154599.1	F4IZV1	3	2821650	2822687	1		not observed		 Concanavalin A-like lectin family protein 	AT3G09190.1
DRL40	AT5G63020.1	AT5G63020.1		NP_201107.2	Q8RXS5	5	25283252	25286002	1		canonical	13	 Disease resistance protein (CC-NBS-LRR class) family 	AT5G63020.1
SAMBA	AT1G32310.1	AT1G32310.1		NP_564394.1	Q9C613	1	11653619	11654538	1		canonical	2	 valine-tRNA ligase 	AT1G32310.1
CDPKB	AT1G35670.1	AT1G35670.1		NP_174807.1	Q39016	1	13205456	13208058	1		canonical	66	 calcium-dependent protein kinase 2 	AT1G35670.1
UBP3	AT4G39910.1	AT4G39910.1		NP_568074.1	O24454	4	18511858	18514139	1		canonical	18	 ubiquitin-specific protease 3 	AT4G39910.1
F4I9F1	AT1G31540.2	AT1G31540.2		NP_001117396.1	F4I9F1	1	11289244	11293697	1		canonical	7	 Disease resistance protein (TIR-NBS-LRR class) family 	AT1G31540.2
PP114	AT1G71420.1	AT1G71420.1		NP_177298.1	Q9C9H9	1	26917822	26920059	1		canonical	4	 Tetratricopeptide repeat (TPR)-like superfamily protein 	AT1G71420.1
RAE1A	AT3G53610.1	AT3G53610.1		NP_001078278.1	O24466	3	19876531	19878264	1		canonical	43	 RAB GTPase homolog 8 	AT3G53610.1
APX1	AT1G07890.1	AT1G07890.1		NP_001030991.2	Q05431	1	2438005	2439435	1		canonical	261	 ascorbate peroxidase 1 	AT1G07890.1
A0A1I9LNR7	AT3G63340.1	AT3G63340.1		NP_001326270.1	A0A1I9LNR7	3	23392181	23397999	1		canonical	17	 kinase superfamily protein 	AT3G63340.1
C81F4	AT4G37410.1	AT4G37410.1		NP_195457.1	Q9SZU1	4	17590848	17592780	1		canonical	48	 cytochrome P450%2C family 81%2C subfamily F%2C polypeptide 4 	AT4G37410.1
Q9C819	AT1G52270.1	AT1G52270.1		NP_175637.1	Q9C819	1	19463913	19464299	1		marginally distinguished	2	 hypothetical protein 	AT1G52270.1
CHX1	AT1G16380.1	AT1G16380.1		NP_173088.1	Q9SA37	1	5598453	5601367	1		canonical	11	 Cation/hydrogen exchanger family protein 	AT1G16380.1
A0A1I9LM76	AT3G16525.1	AT3G16525.1		NP_001325758.1	A0A1I9LM76	3	5624998	5625108	1		not observed		 hypothetical protein 	AT3G16525.1
UBC18	AT5G42990.1	AT5G42990.1		NP_568619.1	Q9FMM0	5	17244206	17245904	1		canonical	5	 ubiquitin-conjugating enzyme 18 	AT5G42990.1
F4I5L3	AT1G77150.1	AT1G77150.1		NP_177840.1	F4I5L3	1	28992876	28993170	1		subsumed by AT1G77170.1	1	 Pentatricopeptide repeat (PPR) superfamily protein 	AT1G77150.1
